Year,Order,Player,Nationality,Club,Points
1989,23,Robby Langers,Nice,Luxembourg,1
1989,23,Gary Lineker,Tottenham Hotspur,England,1
1989,23,Paolo Maldini,Milan,Italy,1
1989,23,Theo Snelders,Aberdeen,Netherlands,1
1989,23,Gianluca Vialli,Sampdoria,Italy,1
1989,23,Oleksandr Zavarov,Juventus,Soviet Union,1
1990,1,Lothar Matthäus,Internazionale,Germany,137
1990,2,Salvatore Schillaci,Juventus,Italy,84
1990,3,Andreas Brehme,Internazionale,Germany,68
1990,4,Paul Gascoigne,Tottenham Hotspur,England,43
1990,5,Franco Baresi,Milan,Italy,37
1990,6,Enzo Scifo,Auxerre,Belgium,12
1990,6,Jürgen Klinsmann,Internazionale,Germany,12
1990,8,Roberto Baggio,Fiorentina / Juventus,Italy,8
1990,9,Frank Rijkaard,Milan,Netherlands,7
1990,10,Guido Buchwald,VfB Stuttgart,Germany,6
1990,11,Jean-Pierre Papin,Marseille,France,3
1990,12,Rafael Martín Vázquez,Real Madrid / Torino,Spain,2
1990,12,Paul McGrath,Aston Villa,Republic of Ireland,2
1990,12,Robert Prosinečki,Red Star Belgrade,Yugoslavia,2
1990,12,Des Walker,Nottingham Forest,England,2
1990,12,Walter Zenga,Internazionale,Italy,2
1990,12,Dragan Stojković,Red Star Belgrade,Yugoslavia,2
1990,18,John Barnes,Liverpool,England,1
1990,18,Michael Laudrup,Barcelona,Denmark,1
1990,18,Gary Lineker,Tottenham Hotspur,England,1
1990,18,David Platt,Aston Villa,England,1
1990,18,Rudi Völler,Roma,Germany,1
1990,18,Chris Waddle,Marseille,England,1
1991,1,Jean-Pierre Papin,France,Marseille,141
1991,2,Dejan Savićević,Yugoslavia,Red Star Belgrade,42
1991,2,Darko Pančev,Yugoslavia,Red Star Belgrade,42
1991,2,Lothar Matthäus,Germany,Internazionale,42
1991,5,Robert Prosinečki,Yugoslavia,Red Star Belgrade /  Real Madrid,34
1991,6,Gary Lineker,England,Tottenham Hotspur,33
1991,7,Gianluca Vialli,Italy,Sampdoria,18
1991,8,Miodrag Belodedici,Romania,Red Star Belgrade,15
1991,9,Mark Hughes,Wales,Manchester United,12
1991,10,Chris Waddle,England,Marseille,11
1991,11,Michael Laudrup,Denmark,Barcelona,7
1991,12,Rudi Völler,Germany,Roma,5
1991,13,Txiki Begiristain,Spain,Barcelona,3
1991,13,Stéphane Chapuisat,Switzerland,Borussia Dortmund,3
1991,13,Bruno Martini,France,Auxerre,3
1991,13,Paul McGrath,Republic of Ireland,Aston Villa,3
1991,13,Dean Saunders,Wales,Derby County / Liverpool,3
1991,13,Hristo Stoichkov,Bulgaria,Barcelona,3
1991,19,Roberto Mancini,Italy,Sampdoria,2
1991,19,Marco van Basten,Netherlands,Milan,2
1991,21,Guido Buchwald,Germany,VfB Stuttgart,1
1991,21,Thomas Doll,Germany,Lazio,1
1991,21,Stefan Effenberg,Germany,Bayern Munich,1
1991,21,Ruud Gullit,Netherlands,Milan,1
1991,21,Gheorghe Hagi,Romania,Real Madrid,1
1991,21,Alexei Mikhailichenko,Soviet Union,Rangers,1
1991,21,Gary Pallister,England,Manchester United,1
1991,21,Dimitris Saravakos,Greece,Panathinaikos,1
1991,21,Gianluca Pagliuca,Italy,Sampdoria,1
1991,21,Guy Hellers,Luxembourg,Standard Liège,1
1991,21,Laurent Blanc,France,Napoli,1
1992,1,Marco van Basten,Milan,Netherlands,98
1992,2,Hristo Stoichkov,Barcelona,Bulgaria,80
1992,3,Dennis Bergkamp,Ajax,Netherlands,53
1992,4,Thomas Häßler,Roma,Germany,42
1992,5,Peter Schmeichel,Manchester United,Denmark,41
1992,6,Brian Laudrup,Fiorentina,Denmark,32
1992,7,Michael Laudrup,Barcelona,Denmark,22
1992,8,Ronald Koeman,Barcelona,Netherlands,14
1992,9,Stéphane Chapuisat,Borussia Dortmund,Switzerland,10
1992,10,Frank Rijkaard,Milan,Netherlands,8
1992,10,Enzo Scifo,Torino,Belgium,8
1992,12,Flemming Povlsen,Borussia Dortmund,Denmark,6
1992,13,Henrik Larsen,Pisa,Denmark,4
1992,14,John Jensen,Arsenal,Denmark,3
1992,14,Paolo Maldini,Milan,Italy,3
1992,16,Henrik Andersen,1. FC Köln,Denmark,2
1992,16,David Platt,Juventus,England,2
1992,16,Tomas Brolin,Parma,Sweden,2
1992,16,Jean-Pierre Papin,Milan,France,2
1992,20,Franco Baresi,Milan,Italy,1
1992,20,Rune Bratseth,Werder Bremen,Norway,1
1993,1,Roberto Baggio,Juventus,Italy,192
1993,2,Dennis Bergkamp,Internazionale,Netherlands,83
1993,3,Eric Cantona,Manchester United,France,34
1993,4,Alen Bokšić,Lazio,Croatia,29
1993,5,Michael Laudrup,Barcelona,Denmark,27
1993,6,Franco Baresi,Milan,Italy,24
1993,7,Paolo Maldini,Milan,Italy,19
1993,8,Emil Kostadinov,Porto,Bulgaria,11
1993,9,Stéphane Chapuisat,Borussia Dortmund,Switzerland,9
1993,9,Ryan Giggs,Manchester United,Wales,9
1993,11,Andreas Möller,Juventus,Germany,7
1993,12,Ruud Gullit,Sampdoria,Netherlands,6
1993,12,Peter Schmeichel,Manchester United,Denmark,6
1993,12,Hristo Stoichkov,Barcelona,Bulgaria,6
1993,15,Basile Boli,Marseille,France,5
1993,15,Rune Bratseth,Werder Bremen,Norway,5
1993,17,Enzo Scifo,Monaco,Belgium,4
1993,18,Andreas Herzog,Werder Bremen,Austria,3
1993,18,Ronald Koeman,Barcelona,Netherlands,3
1993,18,Jari Litmanen,Ajax,Finland,3
1993,21,Dino Baggio,Juventus,Italy,2
1993,21,Sergei Kiriakov,Karlsruher SC,Russia,2
1993,21,David Platt,Sampdoria,England,2
1993,21,Franck Sauzée,Atalanta,France,2
1993,21,Giuseppe Signori,Lazio,Italy,2
1993,26,Tomas Brolin,Parma,Sweden,1
1993,26,Martin Dahlin,Borussia Mönchengladbach,Sweden,1
1993,26,Georges Grün,Parma,Belgium,1
1993,26,Stelios Manolas,AEK Athens,Greece,1
1993,26,Paul McGrath,Aston Villa,Republic of Ireland,1
1994,1,Hristo Stoichkov,Barcelona,Bulgaria,210
1994,2,Roberto Baggio,Juventus,Italy,136
1994,3,Paolo Maldini,Milan,Italy,109
1994,4,Gheorghe Hagi,Barcelona,Romania,68
1994,4,Tomas Brolin,Parma,Sweden,68
1994,6,Jürgen Klinsmann,Tottenham Hotspur,Germany,43
1994,7,Thomas Ravelli,IFK Göteborg,Sweden,21
1994,8,Jari Litmanen,Ajax,Finland,12
1994,9,Marcel Desailly,Milan,France,8
1994,9,Dejan Savićević,Milan,FR Yugoslavia,8
1994,11,Franco Baresi,Milan,Italy,7
1994,11,Michel Preud'homme,Benfica,Belgium,7
1994,13,Michael Laudrup,Real Madrid,Denmark,4
1994,13,Yordan Letchkov,Hamburger SV,Bulgaria,4
1994,13,Eric Cantona,Manchester United,France,4
1994,16,Krasimir Balakov[notes 1],Sporting CP,Bulgaria,3
1994,16,José Luis Caminero,Atlético Madrid,Spain,3
1994,16,Jean-Pierre Papin,Bayern Munich,France,3
1994,16,Giuseppe Signori,Lazio,Italy,3
1994,16,Lothar Matthäus,Bayern Munich,Germany,3
1994,21,Philippe Albert,Newcastle United,Belgium,2
1994,21,Otto Konrad,Austria Salzburg,Austria,2
1994,21,Ciriaco Sforza,Kaiserslautern,Switzerland,2
1994,24,Kennet Andersson,Caen,Sweden,1
1994,24,Zvonimir Boban,Milan,Croatia,1
1994,24,Martin Dahlin,Borussia Mönchengladbach,Sweden,1
1994,24,Pep Guardiola,Barcelona,Spain,1
1994,24,Andreas Möller,Borussia Dortmund,Germany,1
1995,1,George Weah,Paris Saint-Germain / Milan,Liberia,144
1995,2,Jürgen Klinsmann,Tottenham Hotspur F.C. /  Bayern Munich,Germany,108
1995,3,Jari Litmanen,Ajax,Finland,67
1995,4,Alessandro Del Piero,Juventus,Italy,57
1995,5,Patrick Kluivert,Ajax,Netherlands,47
1995,6,Gianfranco Zola,Parma,Italy,41
1995,7,Paolo Maldini,Milan,Italy,36
1995,8,Marc Overmars,Ajax,Netherlands,33
1995,9,Matthias Sammer,Borussia Dortmund,Germany,18
1995,10,Michael Laudrup,Real Madrid,Denmark,17
1995,11,Marcel Desailly,Milan,France,16
1995,12,Frank Rijkaard,Ajax,Netherlands,15
1995,12,Fabrizio Ravanelli,Juventus,Italy,15
1995,14,Paulo Sousa,Juventus,Portugal,14
1995,14,Hristo Stoichkov,Parma,Bulgaria,14
1995,16,Dejan Savićević,Milan,Yugoslavia,12
1995,17,Davor Šuker,Sevilla,Croatia,10
1995,18,Fernando Hierro,Real Madrid,Spain,9
1995,19,Gianluca Vialli,Juventus,Italy,8
1995,20,Gabriel Batistuta,Fiorentina,Argentina,7
1995,21,Franco Baresi,Milan,Italy,6
1995,21,Finidi George,Ajax,Nigeria,6
1995,23,Roberto Baggio,Juventus,Italy,5
1995,23,Tony Yeboah,Leeds United,Ghana,5
1995,23,Zvonimir Boban,Milan,Croatia,5
1995,26,Ronaldo,PSV Eindhoven,Brazil,4
1995,27,Juan Esnáider,Real Zaragoza /  Real Madrid,Argentina,3
1995,27,Iván Zamorano,Real Madrid,Chile,3
1995,27,Andreas Möller,Borussia Dortmund,Germany,3
1995,30,Vítor Baía,Porto,Portugal,2
1995,30,Bebeto,Deportivo La Coruña,Brazil,2
1995,32,Alan Shearer,Blackburn Rovers,England,1
1995,32,Luís Figo,Barcelona,Portugal,1
1995,32,Ian Wright,Arsenal,England,1
1996,1,Matthias Sammer,Borussia Dortmund,Germany,144
1996,2,Ronaldo,PSV Eindhoven / Barcelona,Brazil,143
1996,3,Alan Shearer,Blackburn Rovers /  Newcastle United,England,107
1996,4,Alessandro Del Piero,Juventus,Italy,69
1996,5,Jürgen Klinsmann,Bayern Munich,Germany,60
1996,6,Davor Šuker,Real Madrid,Croatia,38
1996,7,Eric Cantona,Manchester United,France,24
1996,8,Marcel Desailly,Milan,France,22
1996,9,Youri Djorkaeff,Internazionale,France,20
1996,10,Karel Poborský,Slavia Prague /  Manchester United,Czech Republic,15
1996,11,Nwankwo Kanu,Internazionale,Nigeria,14
1996,12,George Weah,Milan,Liberia,13
1996,13,Alen Bokšić,Juventus,Croatia,12
1996,13,Gabriel Batistuta,Fiorentina,Argentina,12
1996,13,Andreas Köpke,Marseille,Germany,12
1996,16,Fabrizio Ravanelli,Middlesbrough,Italy,9
1996,16,Predrag Mijatović,Real Madrid,Yugoslavia,9
1996,18,Didier Deschamps,Juventus,France,8
1996,19,Kubilay Türkyilmaz,Grasshopper,Switzerland,5
1996,20,David Seaman,Arsenal,England,4
1996,20,Raúl,Real Madrid,Spain,4
1996,22,Paolo Maldini,Milan,Italy,3
1996,22,Christian Ziege,Bayern Munich,Germany,3
1996,22,Patrik Berger,Borussia Dortmund / Liverpool,Czech Republic,3
1996,22,Trifon Ivanov,Rapid Wien,Bulgaria,3
1996,26,Radek Bejbl,Slavia Prague / Atlético Madrid,Czech Republic,2
1996,26,Rui Costa,Fiorentina,Portugal,2
1996,28,Ronald de Boer,Ajax,Netherlands,1
1996,28,Luís Figo,Barcelona,Portugal,1
1996,28,Brian Laudrup,Rangers,Denmark,1
1996,28,Sergi,Barcelona,Spain,1
1996,28,Zinedine Zidane,Juventus,France,1
1997,1,Ronaldo,Barcelona /  Internazionale,Brazil,222
1997,2,Predrag Mijatović,Real Madrid,FR Yugoslavia,68
1997,3,Zinedine Zidane,Juventus,France,63
1997,4,Dennis Bergkamp,Arsenal,Netherlands,53
1997,5,Roberto Carlos,Real Madrid,Brazil,47
1997,6,Andreas Möller,Borussia Dortmund,Germany,40
1997,7,Raúl,Real Madrid,Spain,35
1997,8,Peter Schmeichel,Manchester United,Denmark,19
1997,9,Jürgen Kohler,Borussia Dortmund,Germany,17
1997,10,Matthias Sammer,Borussia Dortmund,Germany,16
1997,10,Christian Vieri,Atlético Madrid,Italy,16
1997,12,Youri Djorkaeff,Internazionale,France,15
1997,13,Luis Enrique,Barcelona,Spain,14
1997,14,Luís Figo,Barcelona,Portugal,12
1997,15,Gianfranco Zola,Chelsea,Italy,11
1997,15,Krasimir Balakov,VfB Stuttgart,Bulgaria,11
1997,17,Didier Deschamps,Juventus,France,10
1997,17,Clarence Seedorf,Real Madrid,Netherlands,10
1997,19,Alessandro Del Piero,Juventus,Italy,9
1997,19,Alan Shearer,Newcastle United,England,9
1997,19,David Beckham,Manchester United,England,9
1997,22,Fernando Hierro,Real Madrid,Spain,8
1997,23,Gabriel Batistuta,Fiorentina,Argentina,7
1997,24,Olaf Thon,Schalke 04,Germany,6
1997,25,Juninho,Atlético Madrid,Brazil,5
1997,25,Paulo Sousa,Borussia Dortmund,Portugal,5
1997,25,Lilian Thuram,Parma,France,5
1997,28,Ryan Giggs,Manchester United,Wales,4
1997,29,Oliver Bierhoff,Udinese,Germany,3
1997,29,Angelo Peruzzi,Juventus,Italy,3
1997,29,Raí,Paris Saint-Germain,Brazil,3
1997,32,Victor Ikpeba,Monaco,Nigeria,2
1997,33,Laurent Blanc,Marseille,France,1
1997,33,Ciro Ferrara,Juventus,Italy,1
1997,33,Rivaldo,Barcelona,Brazil,1
1997,33,Bent Skammelsrud,Rosenborg,Norway,1
1998,1,Zinedine Zidane,Juventus,France,244
1998,2,Davor Šuker,Real Madrid,Croatia,68
1998,3,Ronaldo,Internazionale,Brazil,66
1998,4,Michael Owen,Liverpool,England,51
1998,5,Rivaldo,Barcelona,Brazil,45
1998,6,Gabriel Batistuta,Fiorentina,Argentina,43
1998,7,Lilian Thuram,Parma,France,36
1998,8,Edgar Davids,Juventus,Netherlands,28
1998,8,Dennis Bergkamp,Arsenal,Netherlands,28
1998,10,Marcel Desailly,Chelsea,France,19
1998,11,Frank de Boer,Ajax,Netherlands,17
1998,12,Emmanuel Petit,Arsenal,France,16
1998,13,Roberto Carlos,Real Madrid,Brazil,13
1998,14,Laurent Blanc,Marseille,France,11
1998,14,Fabien Barthez,Monaco,France,11
1998,16,Alessandro Del Piero,Juventus,Italy,10
1998,16,Predrag Mijatović,Real Madrid,Yugoslavia,10
1998,18,Didier Deschamps,Juventus,France,9
1998,18,Oliver Bierhoff,Milan,Germany,9
1998,20,Michael Laudrup,Ajax,Denmark,6
1998,21,Ronald de Boer,Ajax,Netherlands,4
1998,21,Raúl,Real Madrid,Spain,4
1998,23,Brian Laudrup,Chelsea,Denmark,3
1998,23,Clarence Seedorf,Real Madrid,Netherlands,3
1998,23,Marc Overmars,Arsenal,Netherlands,3
1998,26,Christian Vieri,Lazio,Italy,2
1998,26,Fernando Hierro,Real Madrid,Spain,2
1998,28,David Beckham,Manchester United,England,1
1998,28,Luis Enrique,Barcelona,Spain,1
1998,28,Bixente Lizarazu,Bayern Munich,France,1
1998,28,Nikos Machlas,Vitesse,Greece,1
1999,1,Rivaldo,Barcelona,Brazil,219
